"Date","Currency","DMD & TT","Notes","Coins","DMD, TT & Cash"
"02 Jan 2025","U.S. DOLLAR","154.7885","147.0500","127.0500","156.4159"
"03 Jan 2025","U.S. DOLLAR","155.1585","147.4000","127.4000","156.5135"
"06 Jan 2025","U.S. DOLLAR","155.4763","147.7000","127.7000","156.9317"
"07 Jan 2025","U.S. DOLLAR","155.7195","147.9300","127.9300","156.9068"
"08 Jan 2025","U.S. DOLLAR","155.9220","148.1300","128.1300","157.2841"
"09 Jan 2025","U.S. DOLLAR","155.8776","148.0800","128.0800","156.7675"
"10 Jan 2025","U.S. DOLLAR","155.8683","148.0700","128.0700","156.8503"
"13 Jan 2025","U.S. DOLLAR","155.7342","147.9500","127.9500","157.2185"
"14 Jan 2025","U.S. DOLLAR","155.4346","147.6600","127.6600","156.9521"
"15 Jan 2025","U.S. DOLLAR","156.3759","148.5600","128.5600","157.4668"
"16 Jan 2025","U.S. DOLLAR","156.5079","148.6800","128.6800","157.6086"
"17 Jan 2025","U.S. DOLLAR","156.4443","148.6200","128.6200","158.1816"
"20 Jan 2025","U.S. DOLLAR","156.6874","148.8500","128.8500","157.4910"
"21 Jan 2025","U.S. DOLLAR","156.0265","148.2300","128.2300","156.9944"
"22 Jan 2025","U.S. DOLLAR","156.2810","148.4700","128.4700","157.2590"
"23 Jan 2025","U.S. DOLLAR","156.4414","148.6200","128.6200","157.7201"
"24 Jan 2025","U.S. DOLLAR","156.5408","148.7100","128.7100","157.6134"
"27 Jan 2025","U.S. DOLLAR","156.5774","148.7500","128.7500","157.8460"
"28 Jan 2025","U.S. DOLLAR","156.4646","148.6400","128.6400","158.0630"
"29 Jan 2025","U.S. DOLLAR","156.8601","149.0200","129.0200","158.0536"
"30 Jan 2025","U.S. DOLLAR","156.7822","148.9400","128.9400","158.1290"
"31 Jan 2025","U.S. DOLLAR","156.7372","148.9000","128.9000","157.8154"
"03 Feb 2025","U.S. DOLLAR","156.6209","148.7900","128.7900","157.4370"
"04 Feb 2025","U.S. DOLLAR","157.0246","149.1700","129.1700","158.2645"
"05 Feb 2025","U.S. DOLLAR","157.2489","149.3900","129.3900","158.7748"
"06 Feb 2025","U.S. DOLLAR","157.1270","149.2700","129.2700","158.1885"
"07 Feb 2025","U.S. DOLLAR","157.1008","149.2500","129.2500","158.1330"
"10 Feb 2025","U.S. DOLLAR","156.5646","148.7400","128.7400","157.6267"
"11 Feb 2025","U.S. DOLLAR","156.5713","148.7400","128.7400","157.9654"
"12 Feb 2025","U.S. DOLLAR","156.4359","148.6100","128.6100","158.1834"
"13 Feb 2025","U.S. DOLLAR","156.9957","149.1500","129.1500","158.3209"
"14 Feb 2025","U.S. DOLLAR","157.1174","149.2600","129.2600","158.1684"
"17 Feb 2025","U.S. DOLLAR","156.9662","149.1200","129.1200","158.2028"
"18 Feb 2025","U.S. DOLLAR","156.6448","148.8100","128.8100","158.4409"
"19 Feb 2025","U.S. DOLLAR","157.1832","149.3200","129.3200","158.3065"
"20 Feb 2025","U.S. DOLLAR","156.8665","149.0200","129.0200","158.4163"
"21 Feb 2025","U.S. DOLLAR","156.8279","148.9900","128.9900","158.1750"
"24 Feb 2025","U.S. DOLLAR","156.8132","148.9700","128.9700","158.1483"
"25 Feb 2025","U.S. DOLLAR","156.6281","148.8000","128.8000","158.0618"
"26 Feb 2025","U.S. DOLLAR","156.3528","148.5400","128.5400","157.8491"
"27 Feb 2025","U.S. DOLLAR","156.7692","148.9300","128.9300","157.9562"
"28 Feb 2025","U.S. DOLLAR","156.1977","148.3900","128.3900","157.8458"
"03 Mar 2025","U.S. DOLLAR","156.0286","148.2300","128.2300","157.3337"
"04 Mar 2025","U.S. DOLLAR","156.1134","148.3100","128.3100","157.7774"
"06 Mar 2025","U.S. DOLLAR","155.8611","148.0700","128.0700","157.8672"
"07 Mar 2025","U.S. DOLLAR","156.2598","148.4500","128.4500","157.7696"
"10 Mar 2025","U.S. DOLLAR","156.2536","148.4400","128.4400","157.8472"
"11 Mar 2025","U.S. DOLLAR","156.1933","148.3800","128.3800","157.5965"
"12 Mar 2025","U.S. DOLLAR","155.8556","148.0600","128.0600","157.6637"
"13 Mar 2025","U.S. DOLLAR","155.8486","148.0600","128.0600","157.6981"
"14 Mar 2025","U.S. DOLLAR","155.7446","147.9600","127.9600","157.6122"
"17 Mar 2025","U.S. DOLLAR","155.8350","148.0400","128.0400","157.3098"
"18 Mar 2025","U.S. DOLLAR","155.9094","148.1100","128.1100","157.4292"
"19 Mar 2025","U.S. DOLLAR","155.8402","148.0500","128.0500","157.5280"
"20 Mar 2025","U.S. DOLLAR","155.5834","147.8000","127.8000","157.6600"
"21 Mar 2025","U.S. DOLLAR","156.1397","148.3300","128.3300","157.5577"
"24 Mar 2025","U.S. DOLLAR","155.9953","148.2000","128.2000","157.6318"
"25 Mar 2025","U.S. DOLLAR","156.0734","148.2700","128.2700","157.7674"
"26 Mar 2025","U.S. DOLLAR","156.2293","148.4200","128.4200","157.8200"
"27 Mar 2025","U.S. DOLLAR","156.3125","148.5000","128.5000","158.1497"
"28 Mar 2025","U.S. DOLLAR","156.3790","148.5600","128.5600","158.3102"
"31 Mar 2025","U.S. DOLLAR","156.4710","148.6500","128.6500","158.4414"
"01 Apr 2025","U.S. DOLLAR","156.9857","149.1400","129.1400","158.3553"
"02 Apr 2025","U.S. DOLLAR","156.6318","148.8000","128.8000","158.5443"
"03 Apr 2025","U.S. DOLLAR","156.8182","148.9800","128.9800","157.9772"
"04 Apr 2025","U.S. DOLLAR","156.7882","148.9500","128.9500","158.6130"
"07 Apr 2025","U.S. DOLLAR","156.9840","149.1300","129.1300","158.6439"
"08 Apr 2025","U.S. DOLLAR","157.1917","149.3300","129.3300","158.6383"
"09 Apr 2025","U.S. DOLLAR","157.3080","149.4400","129.4400","159.2359"
"10 Apr 2025","U.S. DOLLAR","157.6225","149.7400","129.7400","158.7767"
"11 Apr 2025","U.S. DOLLAR","157.3932","149.5200","129.5200","158.4574"
"14 Apr 2025","U.S. DOLLAR","157.2758","149.4100","129.4100","158.5330"
"15 Apr 2025","U.S. DOLLAR","157.0813","149.2300","129.2300","158.2616"
"16 Apr 2025","U.S. DOLLAR","157.1747","149.3200","129.3200","158.5673"
"17 Apr 2025","U.S. DOLLAR","157.2186","149.3600","129.3600","158.6789"
"22 Apr 2025","U.S. DOLLAR","157.1684","149.3100","129.3100","158.5929"
"23 Apr 2025","U.S. DOLLAR","157.4904","149.6200","129.6200","159.0623"
"24 Apr 2025","U.S. DOLLAR","157.3727","149.5000","129.5000","159.0085"
"25 Apr 2025","U.S. DOLLAR","157.7703","149.8800","129.8800","158.9174"
"28 Apr 2025","U.S. DOLLAR","157.5008","149.6300","129.6300","159.1109"
"29 Apr 2025","U.S. DOLLAR","157.3932","149.5200","129.5200","159.2873"
"30 Apr 2025","U.S. DOLLAR","157.8158","149.9300","129.9300","159.1740"
"01 May 2025","U.S. DOLLAR","157.6813","149.8000","129.8000","159.4628"
"02 May 2025","U.S. DOLLAR","157.7233","149.8400","129.8400","159.5165"
"05 May 2025","U.S. DOLLAR","157.5559","149.6800","129.6800","159.4739"
"06 May 2025","U.S. DOLLAR","157.7964","149.9100","129.9100","159.4885"
"07 May 2025","U.S. DOLLAR","157.8374","149.9500","129.9500","159.7228"
"08 May 2025","U.S. DOLLAR","158.0582","150.1600","130.1600","159.8779"
"09 May 2025","U.S. DOLLAR","158.1463","150.2400","130.2400","159.9317"
"12 May 2025","U.S. DOLLAR","158.3892","150.4700","130.4700","160.1884"
"13 May 2025","U.S. DOLLAR","158.7272","150.7900","130.7900","159.9893"
"14 May 2025","U.S. DOLLAR","158.5123","150.5900","130.5900","159.9070"
"15 May 2025","U.S. DOLLAR","158.5043","150.5800","130.5800","159.6374"
"16 May 2025","U.S. DOLLAR","158.4540","150.5300","130.5300","159.4111"
"19 May 2025","U.S. DOLLAR","158.1195","150.2100","130.2100","159.1631"
"20 May 2025","U.S. DOLLAR","158.0603","150.1600","130.1600","159.7081"
"21 May 2025","U.S. DOLLAR","158.0144","150.1100","130.1100","159.4915"
"22 May 2025","U.S. DOLLAR","158.0375","150.1400","130.1400","159.6828"
"26 May 2025","U.S. DOLLAR","158.1560","150.2500","130.2500","159.4748"
"27 May 2025","U.S. DOLLAR","157.5402","149.6600","129.6600","160.2336"
"28 May 2025","U.S. DOLLAR","158.4300","150.5100","130.5100","159.8399"
"29 May 2025","U.S. DOLLAR","158.4788","150.5500","130.5500","160.0459"
"30 May 2025","U.S. DOLLAR","158.7539","150.8200","130.8200","160.2465"
"02 Jun 2025","U.S. DOLLAR","158.6230","150.6900","130.6900","160.1244"
"03 Jun 2025","U.S. DOLLAR","158.6343","150.7000","130.7000","160.1090"
"04 Jun 2025","U.S. DOLLAR","158.5572","150.6300","130.6300","160.3311"
"05 Jun 2025","U.S. DOLLAR","158.8346","150.8900","130.8900","160.3436"
"06 Jun 2025","U.S. DOLLAR","158.6804","150.7500","130.7500","160.4572"
"09 Jun 2025","U.S. DOLLAR","158.9185","150.9700","130.9700","160.3379"
"10 Jun 2025","U.S. DOLLAR","159.0062","151.0600","131.0600","160.9178"
"11 Jun 2025","U.S. DOLLAR","159.1952","151.2400","131.2400","160.4452"
"12 Jun 2025","U.S. DOLLAR","159.1972","151.2400","131.2400","160.1522"
"13 Jun 2025","U.S. DOLLAR","158.7329","150.8000","130.8000","159.6034"
"16 Jun 2025","U.S. DOLLAR","158.2626","150.3500","130.3500","159.8667"
"17 Jun 2025","U.S. DOLLAR","158.0880","150.1800","130.1800","159.9125"
