ITEMNO,VENDORID,vendor_item_number,PORHSEQ,ORDDATE,RECPDATE,days_x_qty_received,lead_time_days,po_unit_cost,qty_ordered,qty_received
1519,1823        ,1519,29850178,2024-07-24,2025-01-10,0,170,3.31,1,0
1976,1823        ,1976,31360683,2025-10-31,2026-01-16,84,77,7.04,1,1
1976,1823        ,1976,30464916,2025-01-28,2025-05-29,90,121,6.12,2,2
1976,1823        ,1976,30391802,2025-01-10,2025-05-29,46,139,6.12,1,1
1976,1823        ,1976,30046065,2024-09-23,2025-01-20,130,119,6.06,2,2
20108,1823        ,20108,29850178,2024-07-24,2025-01-10,756,170,1.96,6,6
20111,1823        ,20111,31021215,2025-07-09,2026-01-16,0,191,3.29,6,0
20111,1823        ,20111,30171108,2024-10-30,2025-08-25,0,299,3.29,6,0
20111,1823        ,20111,29894083,2024-08-07,2024-12-11,288,126,3.16,6,6
20117,1823        ,20117,30464916,2025-01-28,2025-05-29,270,121,0.77,6,6
20117,1823        ,20117,30391802,2025-01-10,2025-05-29,276,139,0.77,6,6
20195,1823        ,20195,30509851,2025-02-10,2025-05-12,100,91,2.4,2,2
20195,1823        ,20195,30071277,2024-09-30,2025-05-12,58,224,2.4,1,1
50 101,1823        ,50,31259662,2025-09-30,2026-01-16,124,108,41.525,2,2
50 101,1823        ,50,30759586,2025-04-23,2025-08-25,50,124,38.62,1,1
50 101,1823        ,50,30717636,2025-04-08,2025-11-28,65,234,38.62,1,1
50 101,1823        ,50,30206292,2024-11-13,2025-03-10,82,117,38.62,2,2
50 101,1823        ,50,29386733,2024-04-10,2024-08-16,60,128,36.47,2,2
550,1823        ,550,29786339,2024-07-08,2024-11-18,86,133,11.01,2,2
552,1823        ,552,30071277,2024-09-30,2025-05-12,58,224,19.31,1,1
560,1823        ,560,31360683,2025-10-31,2026-01-16,840,77,17.39,10,10
560,1823        ,560,31259662,2025-09-30,2026-01-16,620,108,17.39,10,10
560,1823        ,560,31021215,2025-07-09,2026-01-16,354,191,17.4,6,6
560,1823        ,560,30717636,2025-04-08,2025-11-28,1950,234,15.13,30,30
560,1823        ,560,30677781,2025-03-31,2025-08-25,306,147,15.13,6,6
560,1823        ,560,30509851,2025-02-10,2025-05-12,100,91,15.13,2,2
560,1823        ,560,30391802,2025-01-10,2025-05-29,184,139,15.13,4,4
560,1823        ,560,30321207,2024-12-12,2025-03-28,344,106,15.13,8,8
560,1823        ,560,30206292,2024-11-13,2025-03-10,205,117,15.13,5,5
560,1823        ,560,30071277,2024-09-30,2025-05-12,290,224,15.13,5,5
560,1823        ,560,30046065,2024-09-23,2025-01-20,975,119,15.13,15,15
560,1823        ,560,29894083,2024-08-07,2024-12-11,144,126,15.13,3,3
560,1823        ,560,29786339,2024-07-08,2024-11-18,129,133,15.13,3,3
560,1823        ,560,29659974,2024-06-06,2024-10-04,215,120,15.13,5,5
560,1823        ,560,29445764,2024-04-22,2024-07-10,185,79,15.13,5,5
560,1823        ,560,29386733,2024-04-10,2024-08-16,180,128,15.13,6,6
560,1823        ,560,29342387,2024-03-28,2024-08-16,396,141,15.13,12,12
60 587,1823        ,W5202,31360683,2025-10-31,2026-01-16,252,77,9.71,3,3
60 587,1823        ,W5202,31259662,2025-09-30,2026-01-16,372,108,9.711667,6,6
60 587,1823        ,W5202,31126810,2025-08-14,2026-01-16,285,155,9.71,5,5
60 587,1823        ,W5202,30717636,2025-04-08,2025-11-28,1625,234,8.44,25,25
60 587,1823        ,W5202,30608392,2025-03-10,2025-08-25,230,168,8.44,5,5
60 587,1823        ,W5202,30509851,2025-02-10,2025-05-12,200,91,8.44,4,4
60 587,1823        ,W5202,30391802,2025-01-10,2025-05-29,184,139,8.44,4,4
60 587,1823        ,W5202,30206292,2024-11-13,2025-03-10,205,117,8.44,5,5
60 587,1823        ,W5202,30171108,2024-10-30,2025-08-25,275,299,8.44,5,5
60 587,1823        ,W5202,29720855,2024-06-20,2024-11-18,240,151,8.44,5,5
60 587,1823        ,W5202,29659974,2024-06-06,2024-10-04,129,120,8.44,3,3
