ITEMNO,avg_lead_time_days,min_lead_time_days,max_lead_time_days,po_order_count
1519,170.0,170,170,1
1976,114.0,77,139,4
20108,170.0,170,170,1
20111,205.3,126,299,3
20117,130.0,121,139,2
20195,157.5,91,224,2
50 101,142.2,108,234,5
550,133.0,133,133,1
552,224.0,224,224,1
560,134.1,77,234,17
60 587,138.8,77,299,14
60208,152.5,74,234,11
60209,133.5,79,234,11
60307,133.3,74,234,7
60309,147.0,147,147,1
60311,100.0,100,100,1
60402,148.0,105,224,6
60503,150.2,74,299,13
BC 30,140.5,74,234,6
BC 36,234.0,234,234,1
M1263,121.0,117,125,2
M194,141.0,141,141,1
M197,114.8,60,169,8
M198,135.2,60,234,5
M199,132.8,60,299,9
M200DB,182.6,108,299,7
M201,120.0,120,120,1
M202 P,108.0,77,139,3
M203,163.4,117,234,5
M204,141.5,105,191,6
M461,158.2,60,299,11
M476,111.5,106,117,2
M477,130.8,91,168,6
M478,140.4,74,224,5
M479,171.0,108,234,2
M486,160.7,108,234,7
M504C,150.2,74,299,11
M505C,138.0,60,169,4
M516C,217.7,120,299,3
M521,165.0,139,191,2
M523,145.0,74,234,10
M524,129.3,77,191,7
M525,147.5,100,234,6
M549,195.0,91,299,2
M558DB,79.0,79,79,1
M570C,138.2,121,168,4
M582DB,159.8,106,234,4
M584DB,159.1,108,224,7
M585DB,163.8,121,234,5
M586C,164.2,79,299,9
M587C,128.7,91,156,3
M589DB,156.0,156,156,1
M591DB,162.0,156,168,2
M593DB,122.2,77,170,4
M595DB,123.5,91,156,2
M598DB,91.0,91,91,1
M611,141.8,119,170,5
M617,131.6,60,299,16
M625,104.0,104,104,1
M627,147.4,100,234,5
M628,128.8,77,234,16
M634,116.0,77,155,2
M672,145.5,100,191,2
M686,165.2,79,234,5
M687,125.8,60,191,6
M688,131.3,60,234,9
M693,136.8,74,299,10
M7036B,147.2,100,191,4
M7109,169.0,169,169,1
M740 24,119.3,74,168,7
M740 26,159.7,108,224,7
M740 27,174.7,91,299,7
M740 28,170.0,125,234,3
M740 30,133.4,79,234,15
M740 34,161.6,119,234,7
M740 36,155.5,74,299,10
M740 38,156.8,91,234,9
M740 40,161.8,77,299,4
M740 42,166.7,104,299,9
M740 46,141.8,91,169,4
M740 48,160.0,100,224,3
M742 32,165.4,106,299,8
M742 34,157.8,100,299,8
M742 36,155.5,74,299,10
M742 40,160.9,100,299,13
M742 42,144.9,74,299,14
M742 44,104.0,104,104,1
M742 46,123.2,60,224,6
M742 48,136.3,77,234,15
M743 33,136.2,74,299,17
M745 10,180.5,126,299,4
M745 22,147.0,147,147,1
M745 40,125.0,125,125,1
M745 44,125.0,125,125,1
M745 52,125.0,125,125,1
M747 20,149.7,60,234,3
M747 30,124.7,108,141,3
M747 38,116.5,108,125,2
M765,134.8,60,299,21
M780,140.3,77,299,12
M782,184.3,108,299,7
M785,149.4,77,299,14
M786,141.1,77,234,11
M787,124.3,74,191,3
M795,120.4,77,169,8
M867,146.6,100,224,5
M880,150.8,105,224,6
M963,133.1,74,234,10
M964,145.4,91,234,14
M967,234.0,234,234,1
M970,198.7,106,299,3
M971,170.0,106,234,2
M973,208.0,117,299,2
M981,156.0,156,156,1
M982,156.0,156,156,1
MV8,141.0,141,141,1
OK312,135.1,74,234,15
PT1422,79.0,79,79,1
PT1475,108.0,108,108,1
PT1485,234.0,234,234,1
PT1518,60.0,60,60,2
PT1980,60.0,60,60,1
PT626,141.0,141,141,1
PTT0002,79.0,79,79,1
PTT0004,156.0,156,156,1
W10012,119.7,77,234,6
W10012 1,144.5,121,168,2
W10055,152.7,77,234,3
W1028,147.0,147,147,1
W1029,159.2,79,234,4
W1031,172.0,139,234,4
W1076,60.0,60,60,1
W1093,124.2,74,168,4
W1101,148.5,108,234,4
W1102,146.0,106,191,3
W1103,193.0,100,299,4
W1107DB,146.6,100,234,9
W1114M,91.5,77,106,2
W1116C,149.9,74,299,10
W1118,181.1,91,299,8
W1119C,100.0,100,100,1
W1121PC,159.0,60,299,6
W1133 10B,125.5,100,151,2
W1133 12B,138.8,108,168,4
W1133 14B,98.5,91,106,2
W1133 18B,165.0,139,191,2
