ITEMNO,GL Account,Sub Category Name,item_description,CATEGORY,STOCKUNIT,UNITWGT,item_status,vendor_name,performance_tool_price,Vendor Item Number,sales_frequency_2020,total_volume_2020,total_revenue_2020,avg_price_2020,sales_frequency_2021,total_volume_2021,total_revenue_2021,avg_price_2021,sales_frequency_2022,total_volume_2022,total_revenue_2022,avg_price_2022,sales_frequency_2023,total_volume_2023,total_revenue_2023,avg_price_2023,sales_frequency_2024,total_volume_2024,total_revenue_2024,avg_price_2024,sales_frequency_2025,total_volume_2025,total_revenue_2025,avg_price_2025,sales_frequency_2026,total_volume_2026,total_revenue_2026,avg_price_2026,lifetime_sales_frequency,lifetime_total_volume,lifetime_total_revenue,lifetime_avg_price,vendor_item_number
1519,Tools,Shop/Garage Equipment,"BRUSH TIRE AND WHEEL  (10"")                                 ",06SHOP,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,3.38,1519                    ,0,0,0.0,0.0,1,3,2648.97,882.99,1,1,1141.95,1141.95,1,2,2233.96,1116.98,1,1,1116.98,1116.98,0,0,0.0,0.0,0,0,0.0,0.0,4,7,7141.86,1020.265714,1519
1976,Tools,Hand Tools,KNIVES FOLDING UTILITY (3PK)                                ,06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,7.04,1976                    ,0,0,0.0,0.0,1,2,3321.88,1660.94,4,4,8162.52,2040.63,2,2,4311.48,2155.74,4,5,10892.16,2178.432,2,2,4586.86,2293.43,0,0,0.0,0.0,13,15,31274.9,2084.993333,1976
1982,Tools,Hand Tools,GUN GLUE HEAVY DUTY (40-WATT)                               ,06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,6.24,1982                    ,0,0,0.0,0.0,1,2,3407.04,1703.52,0,0,0.0,0.0,0,0,0.0,0.0,1,1,2327.39,2327.39,1,1,2476.04,2476.04,0,0,0.0,0.0,3,4,8210.47,2052.6175,
20108,Tools,Hand Tools,"PLIERS 6"" SLIP JOINT                                        ",06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,2.09,20108                   ,1,1,437.49,437.49,2,4,2333.76,583.44,1,1,645.6,645.6,1,1,613.32,613.32,2,2,1258.92,629.46,1,1,710.84,710.84,0,0,0.0,0.0,8,10,5999.93,599.993,20108
20110,Tools,Hand Tools,"PLIERS LONG NOSE 6""                                         ",06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,1.87,20110                   ,1,1,471.74,471.74,2,2,995.9,497.95,0,0,0.0,0.0,4,4,2195.68,548.92,0,0,0.0,0.0,1,1,604.22,604.22,0,0,0.0,0.0,8,8,4267.54,533.4425,
20111,Tools,Hand Tools,"WRENCH ADJUSTABLE 8""                                        ",06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,3.65,20111 - Discontinued    ,11,13,10900.62,838.586153,6,16,13555.45,847.278125,5,7,6224.73,889.247142,6,15,13252.54,883.502666,9,15,14349.13,956.608666,4,3,3256.95,1085.65,1,0,0.0,0.0,42,69,61539.42,891.875652,20111
20116,Tools,Hand Tools,SCREWDRIVER 6-IN-1 TOOL                                     ,06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,1.74,20116                   ,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,608.48,608.48,0,0,0.0,0.0,0,0,0.0,0.0,1,1,608.48,608.48,
20117,Tools,Hand Tools,SCREWDRIVER PHILLIPS                                        ,06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,0.89,20117                   ,12,37,7035.94,190.16054,8,24,4891.12,203.796666,2,7,1412.25,201.75,6,20,4110.66,205.533,3,13,2714.53,208.81,5,6,1609.37,268.228333,1,6,1427.46,237.91,37,113,23201.33,205.321504,20117
20118,Tools,Hand Tools,SCREWDRIVER SLOTTED                                         ,06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,0.75,20118                   ,13,23,4662.01,202.696086,7,27,5313.75,196.805555,4,10,2168.82,216.882,2,11,2219.25,201.75,3,5,1130.3,226.06,4,5,1262.17,252.434,0,0,0.0,0.0,33,81,16756.3,206.867901,
20193,Tools,Hand Tools,TOOL PICK UP BACK SCRATCHER                                 ,06HAND,EACH      ,0,0,WILMAR CORPORATION (PT) PERFORMANCE TOOL                    ,2.61,20193                   ,0,0,0.0,0.0,68,70,2298.78,32.882571,1,2,2360.8,1180.4,1,4,3894.32,973.83,0,0,0.0,0.0,1,1,1121.38,1121.38,1,1,1062.36,1062.36,72,78,10737.64,137.662051,
