item_number,item_description,pt_current_price,pt_cpl35_price,pt_price_change_pct,standard_pack,inner_qty,master_qty,upc,class_code,class_desc,brand_code,brand_desc,subclass_code,subclass_desc,group_name,is_new_item,pt_price_ca35,pt_price_ca40,vendor,vendor_brand,country,price_type,source_file
1100,2 pc. Stubby Screwdriver Set,1.87,1.87,0.0,1.0,4,48,39564141102.0,2,Hand Tools,3.0,Project Pro,9,Screwdriver Sets,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1103,4 pc. Hook & Pick Set,1.87,1.87,0.0,1.0,4,24,39564141133.0,3,Hardware Tools,3.0,Project Pro,11,Hook & Pick,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1105,"5"" Long Nose Pliers",1.87,1.87,0.0,1.0,4,24,39564141157.0,2,Hand Tools,3.0,Project Pro,7,Pliers & Cutters,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1106,"6"" Slip Joint Pliers",1.87,1.87,0.0,1.0,4,24,39564141164.0,2,Hand Tools,3.0,Project Pro,7,Pliers & Cutters,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1107,"1-1/4"" Putty Knife",1.87,1.87,0.0,1.0,4,48,39564141171.0,3,Hardware Tools,3.0,Project Pro,22,Scrapers & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1108,"3"" Putty Knife",1.87,1.87,0.0,1.0,4,48,39564141188.0,3,Hardware Tools,3.0,Project Pro,22,Scrapers & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1109,"4"" Retractable Safety Scraper",1.87,1.87,0.0,1.0,4,48,39564141195.0,3,Hardware Tools,3.0,Project Pro,22,Scrapers & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1110,Retractable Utility Knife,1.87,1.87,0.0,1.0,4,24,39564141201.0,3,Hardware Tools,3.0,Project Pro,14,Utility Knives & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1111,6 pc. Snap Blade Knife Set,1.87,1.87,0.0,1.0,4,24,39564141218.0,3,Hardware Tools,3.0,Project Pro,14,Utility Knives & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
1112,Mini Hacksaw w/Blades,1.87,1.87,0.0,1.0,4,24,39564141225.0,3,Hardware Tools,3.0,Project Pro,21,Saws & Blades,Yellow Card,,1.79,1.65,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
