item_number,item_description,group_name,vendor_price_usd,price_valid_till,notes,price_expired,phase_out_flag,vendor,vendor_brand,country,price_type,source_file
600890000,Drill stand 890                         ,Accessory,131.51450000000003,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
612001000,Machine vice                            ,Accessory,77.779,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
612003000,Machine vice                            ,Accessory,49.6925,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616100000,"Flexiamant super 115x2,0x22,2 steel     ",Accessory,1.0595,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616101000,"Flexiamant super 125x2,0x22,2 steel     ",Accessory,1.2025,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616102000,"Flexiamant super 180x2,0x22,2 steel     ",Accessory,1.911,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616103000,"Flexiamant super 230x2,5x22,2 steel     ",Accessory,2.743,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616104000,"Flexiamant super 115x3,0x22,2 steel     ",Accessory,1.248,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616107000,"Flexiamant super 125x2,0x22,2 steel     ",Accessory,1.2025,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616109000,"Flexiamant super 150x2,0x22,2 steel     ",Accessory,1.482,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616111000,"Flexiamant super 180x2,0x22,2 steel     ",Accessory,1.911,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616115000,"Flexiamant super 230x2,5x22,2  steel    ",Accessory,2.535,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616121000,"Flexiamant 150x3,0x22,2 steel           ",Accessory,1.378,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616123000,"Flexiamant 180x3,0x22,2 steel           ",Accessory,1.7615,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616126000,"Flexiamant super 230x3,0x22,2 alu       ",Accessory,2.4115,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616127000,"Flexiamant 230x3,0x22,2 steel           ",Accessory,2.223,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616135000,"Flexiamant super 300x3,5x22,2 steel     ",Accessory,4.3875,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
