item_number,item_description,product_description,order_quantity,qty_per_carton,cbm_per_carton,fob_unit_price_usd,estimated_landed_price_usd,freight_factor_applied,NOTE_ronix_pricing,vendor,vendor_brand,country,price_type,source_file
8661,"Brushless Impact
Drill 16V","Superpower hammer drill with 3 functions: Drilling, Screwing, and drilling with
hammer
16V-2000mAh
55 N.m maximum torque
20+3 clutch settings
High impact rate of 0～6500/25500 bpm
1.07Kg (with 1pc battery)
Including Battery 2pcs
Charger 1pc",0,5,0.0489,38.46,49.998,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8661V,"Brushless Impact
Drill 16V","Superpower hammer drill with 3 functions: Drilling, Screwing, and drilling with
hammer
16V-2000mAh
55 N.m maximum torque
20+3 clutch settings
High impact rate of 0～6500/25500 bpm
1.07Kg (with 1pc battery)
Including Battery 2pcs
Charger 1pc",0,5,0.0489,35.14,45.682,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8669,"Brushless Cordless
Impact Drill 16V","battery type:lithium-ion
battery capacity:2000mAh
chuck type:keyless chuck
chuck size:10mm
impact rate:0-30000BPM
no-load speed:0-450RPM/0-2000RPM
max torque:50N.m
max capacity in:wood:25mm / metal:10mm / concrete:8mm
weight:1.08kg(with 1pc battery pack)
includes：2pcs battery packs",0,8,0.0861,39.88,51.844,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8670,"Brushless impact drill
13mm","voltage:20V DC
no load speed:0-450/0-2000RPM
impact rate:0-30000BPM
max torque:60N.m
chuck size:13mm
net weight:1.43kg",0,8,0.0853,50.24,65.312,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8670C,"Brushless impact drill
13mm","voltage:20V DC
no load speed:0-450/0-2000RPM
impact rate:0-30000BPM
max torque:60N.m
chuck size:13mm
net weight:1.43kg
WITHOUT BATTERY AND CHARGER",0,8,0.0282,21.81,28.353,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8671,"Brushless Cordless
Screwdriver 20V","head style:Hex socket
head size:6.35mm
no-load speed:0-3300RPM
max torque:230N.m
includes：3pcs Hex Shank Twist Drill
(3.2mm/4.2mm/5.2mm)
2pcs Heel Block (Spacer)",0,8,0.0854,51.97,67.561,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8671C,"Brushless Cordless
Screwdriver 20V","head style:Hex socket
head size:6.35mm
no-load speed:0-3300RPM
max torque:230N.m
includes：3pcs Hex Shank Twist Drill
(3.2mm/4.2mm/5.2mm)
2pcs Heel Block (Spacer)
WITHOUT BATTERY AND CHARGER",0,8,0.0245,23.33,30.329,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8672,"Brushless cordless
impact wrench
350N.m 1/2 INCH","Voltage 20V
Battery Capacity 4.0Ah
Max.Torque 350N.m
Weight 1.66kg
No load speed 0-2400RPM",0,6,0.0648,65.79,85.527,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8672C,"Brushless cordless
impact wrench
350N.m 1/2 INCH","Voltage 20V
Battery Capacity 4.0Ah
Max.Torque 350N.m
Weight 1.66kg
No load speed 0-2400RPM
WITHOUT BATTERY AND CHARGER",0,8,0.0245,22.48,29.224,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
8673,"Brushless cordless
impact wrench
500N.m 1/2 INCH","Voltage 20V
Battery Capacity 4.0Ah
Max.Torque 500N.m
Weight 1.8kg
No load speed 0-2500RPM",0,6,0.063,69.56,90.428,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
