item_number,item_description,vendor,vendor_brand,country,price_type,vendor_price_usd,pt_price_ca35,pt_price_ca40,phase_out_flag,ronix_fob_price_usd,vendor_price_jmd
1100,2 pc. Stubby Screwdriver Set,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1103,4 pc. Hook & Pick Set,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1105,"5"" Long Nose Pliers",Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1106,"6"" Slip Joint Pliers",Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1107,"1-1/4"" Putty Knife",Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1108,"3"" Putty Knife",Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1109,"4"" Retractable Safety Scraper",Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1110,Retractable Utility Knife,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1111,6 pc. Snap Blade Knife Set,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1112,Mini Hacksaw w/Blades,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1114,2 pc. File Set,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1116,Parts Cleaning Brush,Workpro,Workpro,China,landed,2.1,2.01,1.86,,,329.66661000000005
1117,12 pc. Acid Brush Set,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1119,2 pc. Paint Brush Set,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1120,10 pc. Artist Brush Set,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
1121,3 pc. Wire Brush Set,Workpro,Workpro,China,landed,2.1,2.01,1.86,,,329.66661000000005
1122,50' Polypropylene Rope,Workpro,Workpro,China,landed,1.87,1.79,1.65,,,293.56026700000007
