sage_ITEMNO,sage_description,sage_pt_cost,vendor,item_number,item_description,vendor_price_usd,match_score,match_step
1519,"BRUSH TIRE AND WHEEL  (10"")                                 ",3.38,Workpro,W1519,265 pc. Tri-Fold Tool Set w/Cable Ties,64.21,88.9,step1_itemno
1976,KNIVES FOLDING UTILITY (3PK)                                ,7.04,Workpro,1976,3 pk. Folding Utility Knives w/Blades,7.17,100.0,step1_itemno
1982,GUN GLUE HEAVY DUTY (40-WATT)                               ,6.24,Workpro,1982,40-Watt Heavy Duty Glue Gun,7.17,100.0,step1_itemno
20108,"PLIERS 6"" SLIP JOINT                                        ",2.09,Workpro,20108,"6"" Slip Joint Pliers",2.41,100.0,step1_itemno
20110,"PLIERS LONG NOSE 6""                                         ",1.87,Workpro,20110,"6"" Long Nose Pliers",2.15,100.0,step1_itemno
20111,"WRENCH ADJUSTABLE 8""                                        ",3.65,Workpro,2011,Lower Basket for Tool Table,66.38,88.9,step1_itemno
20116,SCREWDRIVER 6-IN-1 TOOL                                     ,1.74,Workpro,20116,6-in-1 Screwdriver,2.0,100.0,step1_itemno
20117,SCREWDRIVER PHILLIPS                                        ,0.89,Workpro,20117,"#2 X 4"" Phillips Screwdriver",0.91,100.0,step1_itemno
20118,SCREWDRIVER SLOTTED                                         ,0.75,Workpro,2011,Lower Basket for Tool Table,66.38,88.9,step1_itemno
20193,TOOL PICK UP BACK SCRATCHER                                 ,2.61,Workpro,20193,Back Scratcher Pickup Tool,3.0,100.0,step1_itemno
20195,SET BRUSH PAINT 5-PC                                        ,2.4,Workpro,20195,5 pc. Polyester Paint Brush Set,2.81,100.0,step1_itemno
204,THUMPER TIRE PRO-FOCUS L.E.D                                ,17.32,Workpro,M204,3/4 Dr. Torque Wrench 100-600 ft/lb.,228.12,85.7,step1_itemno
50-101,PULLER HAND POWER (4 TON)                                   ,41.525,Workpro,50-101,4 Ton Cable Power Puller,44.99,100.0,step1_itemno
550,FLASHLIGHT RECHARGEABLE 320 LM                              ,11.73,Workpro,550,320LM Li-Ion Flashlight w/Pouch,13.5,100.0,step1_itemno
552,FLASHLIGHT RECHARGEABLE LED 1000LM (PRO-FOCUS)              ,19.7,Workpro,552,1000LM Li-Ion Flashlight w/Pouch,22.67,100.0,step1_itemno
560,HEADLAMP RECHARGEABLE LED 500 LUMENS                        ,17.39,Workpro,560,550LM Li-Ion Headlamp,17.76,100.0,step1_itemno
