vendor_a,item_number_a,description_a,price_a_usd,vendor_b,item_number_b,description_b,price_b_usd,item_match_score,match_method
Workpro,1100,2 pc. Stubby Screwdriver Set,1.87,Metabo,316064340,Screwdriver set                         ,11.98,100.0,description
Workpro,1103,4 pc. Hook & Pick Set,1.87,Metabo,316052120,Hook                                    ,1.26,100.0,description
Workpro,1105,"5"" Long Nose Pliers",1.87,Metabo,344080750,Brush long                              ,17.99,57.1,description
Workpro,1106,"6"" Slip Joint Pliers",1.87,Metabo,339145940,slip case                               ,0.44,61.5,description
Workpro,1107,"1-1/4"" Putty Knife",1.87,Metabo,316026410,KNIFE COMPL.                            ,27.47,58.8,description
Workpro,1108,"3"" Putty Knife",1.87,Metabo,344164480,(cutting) knife                         ,0.44,62.1,description
Workpro,1109,"4"" Retractable Safety Scraper",1.87,Metabo,341146380,Safety band                             ,24.97,70.6,description
Workpro,1110,Retractable Utility Knife,1.87,Metabo,1010689771,RETRACTABLE BLADE GUARD ASS'Y  ET       ,13.99,61.1,description
Workpro,1111,6 pc. Snap Blade Knife Set,1.87,Metabo,341144790,Blade                                   ,2.99,100.0,description
Workpro,1114,2 pc. File Set,1.87,Metabo,602244500,BFE 9-20 Band file SET,455.0,72.7,description
Workpro,1116,Parts Cleaning Brush,2.1,Metabo,343001270,Brush                                   ,1.75,100.0,description
Workpro,1117,12 pc. Acid Brush Set,1.87,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1119,2 pc. Paint Brush Set,1.87,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1120,10 pc. Artist Brush Set,1.87,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1121,3 pc. Wire Brush Set,2.1,Metabo,316035030,Brush set                               ,3.47,100.0,description
Workpro,1122,50' Polypropylene Rope,1.87,Metabo,345000160,Nylon rope                              ,0.44,57.1,description
Workpro,1123,3 pc. Bungee Cord Set,1.87,Metabo,344115200,Bungee Cord                             ,1.01,100.0,description
Workpro,1127,Safety Glasses,1.87,Metabo,341146380,Safety band                             ,24.97,70.6,description
Workpro,1129,8 oz. Rubber Mallet Wood Handle,1.87,Metabo,314000550,Handle                                  ,1.98,100.0,description
Workpro,1135,5 pk. Multi-Color Electrical Tape,1.87,Metabo,343090660,electrical connection inlet cpl.        ,1.01,58.5,description
Workpro,1144,4 pc. Plastic Funnel Set (2 to 13 oz.),1.87,Metabo,144121290,Plastic bag                             ,0.44,77.8,description
Workpro,1147,Mini Suction Cup,1.87,Metabo,341161900,Suction tube                            ,1.98,73.7,description
Workpro,1148,3 pc. Magnetic Key Holders,1.87,Metabo,339100050,key                                     ,0.44,100.0,description
Workpro,1150,20 pc. Auto Fuse Assortment,1.87,Metabo,142110150,Fuse                                    ,2.99,100.0,description
Workpro,1159,8 pk. Heavy Duty Glue Sticks,1.87,Metabo,136013090,Glue                                    ,6.93,100.0,description
Workpro,1168,"1.88"" x 55 Yards Packing Tape",1.87,Metabo,144139910,Packing                                 ,6.93,100.0,description
Workpro,1170,"4"" Magnetic Parts Tray - Stainless",1.87,Metabo,316073530,magnetic rail                           ,349.05,76.2,description
Workpro,1171,Battery Post Brush w/Felt Washers,2.1,Metabo,343001270,Brush                                   ,1.75,100.0,description
Workpro,1172,"11"" Multi-Purpose Extended Scraper",1.87,Metabo,626961000,Scraper HCS 52 mm                       ,5.69,58.3,description
Workpro,1173,"3 pc. Plastic Putty Knife Set 1.5-2-3""",1.87,Metabo,144121290,Plastic bag                             ,0.44,77.8,description
Workpro,1174,"3 pc. Plastic Putty Knife set 1.5-3-6""",1.87,Metabo,144121290,Plastic bag                             ,0.44,77.8,description
